variable,label,units,type,reference
molecule_chembl_id,Molecule identifier,,nominal,,
standard_value,IC50 activity against Glucocorticoid receptor,nM,ratio,,
lipinski,"Whether the molecule satisfies Lipinski's rule of 5",,bool,,
is_active,Whether the standard_value is less than 1000 nM,,bool,,
canonical_smiles,A SMILES string representing the molecule,,nominal,,
MaxAbsEStateIndex,Returns a tuple of EState indices for the molecule,,ratio,"10.1023/a:1015952613760, 10.1021/ci00028a014"
MaxEStateIndex,Returns a tuple of EState indices for the molecule,,ratio,"10.1023/a:1015952613760, 10.1021/ci00028a014"
MinAbsEStateIndex,Returns a tuple of EState indices for the molecule,,ratio,"10.1023/a:1015952613760, 10.1021/ci00028a014"
MinEStateIndex,Returns a tuple of EState indices for the molecule,,ratio,"10.1023/a:1015952613760, 10.1021/ci00028a014"
qed,"Quantitative amount of similarity of drugs",,ratio,"10.1038/nchem.1243"
SPS,,,,,
MolWt,The average molecular weight,amu,ratio,,
HeavyAtomMolWt,The average molecular weight ignoring hydrogens,amu,ratio,,
ExactMolWt,The exact molecular weight,amu,ratio,,
NumValenceElectrons,The number of valence electrons,,count,,
MaxPartialCharge,Maximum partial charge,e,ratio,,
MinPartialCharge,Minimum partial charge,e,ratio,,
MaxAbsPartialCharge,Maximum absolute partial charge,e,ratio,,
MinAbsPartialCharge,Minimum absolute partial charge,e,ratio,,
FpDensityMorgan1,Morgan fingerprint density,,ratio,,
FpDensityMorgan2,Morgan fingerprint density,,ratio,,
FpDensityMorgan3,Morgan fingerprint density,,ratio,,
AvgIpc,,,,,
BalabanJ,Balaban's J value for a molecule,,ratio,"10.1016/0009-2614(82)80009-2",
BertzCT,A topological index meant to quantify complexity of molecules,,ratio,"10.1021/ja00402a071",
Chi0,"From equations (1),(9) and (10) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi0n,"Similar to Hall Kier Chi0v, but uses nVal instead of valence This makes a big difference after we get out of the first row",,ratio,"10.1002/9780470125793.ch9"
Chi0v,"From equations (5),(9) and (10) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi1,"From equations (1),(11) and (12) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi1n,"Similar to Hall Kier Chi1v, but uses nVal instead of valence.Rev. Comput. Chem. 2:367-422 (1991).",,ratio,"10.1002/9780470125793.ch9"
Chi1v,"From equations (5),(11) and (12) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi2n,"Similar to Hall Kier Chi2v, but uses nVal instead of valence. This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",,ratio,"10.1002/9780470125793.ch9"
Chi2v,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi3n,"Similar to Hall Kier Chi3v, but uses nVal instead of valence. This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",,ratio,"10.1002/9780470125793.ch9"
Chi3v,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
Chi4n,"Similar to Hall Kier Chi4v, but uses nVal instead of valence. This makes a big difference after we get out of the first row.Rev. Comput. Chem. 2:367-422 (1991).",,ratio,"10.1002/9780470125793.ch9"
Chi4v,"From equations (5),(15) and (16) of Rev. Comp. Chem. vol 2, 367-422, (1991)",,ratio,"10.1002/9780470125793.ch9"
HallKierAlpha,The Hall-Kier alpha value for a molecule,,ratio,
Ipc,The information content of the coefficients of the characteristic polynomial of the adjacency matrix of a hydrogen-suppressed graph of a molecule,,ratio,
Kappa1,Kappa indices are calculated relative to the least branched (linear) and most branched (star) compounds with the same number of atoms as the molecule being investigated,,ratio,"10.1002/9780470125793.ch9"
Kappa2,Hall-Kier Kappa2 value,,ratio,"10.1002/9780470125793.ch9"
Kappa3,Hall-Kier Kappa3 value,,ratio,"10.1002/9780470125793.ch9"
LabuteASA,"Labute's Approximate Surface Area",nm^2,ratio,"10.1016/S1093-3263(00)00068-1"
PEOE_VSA1,MOE(Molecular Operating Environment) Charge VSA Descriptor 1 (-inf < x < -0.30),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA2,MOE Charge VSA Descriptor 2 (-0.30 <= x < -0.25),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA3,MOE Charge VSA Descriptor 3 (-0.25 <= x < -0.20),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA4,MOE Charge VSA Descriptor 4 (-0.20 <= x < -0.15),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA5,MOE Charge VSA Descriptor 5 (-0.15 <= x < -0.10),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA6,MOE Charge VSA Descriptor 6 (-0.10 <= x < -0.05),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA7,MOE Charge VSA Descriptor 7 (-0.05 <= x < 0.00),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA8,MOE Charge VSA Descriptor 8 ( 0.00 <= x < 0.05),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA9,MOE Charge VSA Descriptor 9 ( 0.05 <= x < 0.10),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA10,MOE Charge VSA Descriptor 10,,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA11,MOE Charge VSA Descriptor 11 ( 0.15 <= x < 0.20),,ratio,"10.1016/0040-4020(80)80168-2"
PEOE_VSA12,MOE Charge VSA Descriptor 12 ( 0.20 <= x < 0.25),,ratio,"10.1016/0040-4020(80)80168-2"
